hightemp,lowtemp,avgtemp,spring,summer,fall,cloudcover,precip,volume,weekday
83,50,66.5,0,1,0,7.599999905,0,501,1
73,49,61,0,1,0,6.300000191,0.289999992,419,1
74,52,63,1,0,0,7.5,0.319999993,397,1
95,61,78,0,1,0,2.599999905,0,385,0
44,52,48,1,0,0,10,0.140000001,200,1
69,54,61.5,1,0,0,6.599999905,0.02,375,1
66,39,52.5,1,0,0,2.400000095,0,417,1
66,38,52,1,0,0,0,0,629,0
80,55,67.5,0,1,0,3.799999952,0,533,0
79,45,62,0,1,0,4.099999905,0,547,1
78,55,66.5,0,1,0,8.5,0,432,1
65,48,56.5,1,0,0,7.199999809,0,418,1
41,49,45,1,0,0,10,0.029999999,193,1
59,35,47,0,0,1,7.699999809,0,331,1
50,35,42.5,0,0,1,5.800000191,0,280,1
54,32,43,1,0,0,3.599999905,0,304,1
97,71,84,0,1,0,6.099999905,0.680000007,352,0
75,43,59,1,0,0,6.300000191,0,156,1
63,35,49,1,0,0,8.600000381,0,365,1
42,37,39.5,0,0,1,10,0.150000006,181,1
70,49,59.5,1,0,0,7.900000095,0,514,0
57,48,52.5,1,0,0,6.800000191,0,259,1
71,39,55,1,0,0,5.199999809,0,452,1
46,30,38,0,0,1,9.699999809,0.200000003,189,1
61,35,48,1,0,0,4.400000095,0,362,1
81,65,73,0,1,0,10,1.440000057,256,1
64,58,61,0,1,0,10,1.149999976,155,1
57,36,46.5,1,0,0,6.5,0.01,174,1
62,36,49,1,0,0,0,0,259,1
83,54,68.5,0,1,0,1.200000048,0,535,0
76,44,60,1,0,0,1.799999952,0,650,0
74,50,62,1,0,0,8,0.119999997,409,1
59,40,49.5,1,0,0,9.399999619,0.340000004,311,1
77,52,64.5,1,0,0,5,0,736,0
52,43,47.5,1,0,0,5.800000191,0.01,186,1
67,43,55,1,0,0,6.699999809,0,371,1
51,19,35,0,0,1,0,0,291,0
41,25,33,0,0,1,0,0,287,1
90,65,77.5,0,1,0,8.399999619,0,411,1
70,30,50,1,0,0,0,0,461,0
81,39,60,1,0,0,0,0,540,1
72,53,62.5,0,1,0,7.900000095,0,376,1
70,63,66.5,0,1,0,9.899999619,0,554,1
69,41,55,0,0,1,6.400000095,0,339,1
59,34,46.5,1,0,0,2.400000095,0,344,1
60,32,46,0,0,1,1.200000048,0,348,0
72,47,59.5,1,0,0,4.099999905,0,517,1
70,47,58.5,1,0,0,9.899999619,0,328,1
76,72,74,0,1,0,9.699999809,0.349999994,298,1
56,38,47,1,0,0,0,0,335,1
66,38,52,1,0,0,3.900000095,0,186,1
84,69,76.5,0,1,0,8.899999619,0.01,505,1
58,51,54.5,1,0,0,10,0.150000006,156,1
56,41,48.5,1,0,0,7,0,362,1
79,47,63,1,0,0,7,0.01,507,0
67,39,53,1,0,0,6.800000191,0.02,407,0
75,47,61,1,0,0,6.800000191,0,421,1
65,30,47.5,1,0,0,4.300000191,0,393,1
70,41,55.5,1,0,0,5.099999905,0,422,1
64,41,52.5,1,0,0,3.400000095,0,349,1
51,39,45,1,0,0,10,0.159999996,150,1
77,43,60,1,0,0,0.400000006,0,429,1
60,34,47,1,0,0,10,0,293,1
74,55,64.5,0,1,0,4.599999905,0,461,1
84,70,77,0,1,0,9.899999619,1.49000001,388,1
61,42,51.5,1,0,0,6.400000095,0.01,322,1
49,43,46,1,0,0,9.699999809,0.119999997,129,0
71,42,56.5,0,0,1,4,0,415,0
70,62,66,1,0,0,3,0,460,1
83,60,71.5,0,1,0,8.199999809,0.140000001,405,1
90,66,78,0,1,0,6.599999905,0,453,1
92,66,79,0,1,0,7.900000095,0,395,1
88,54,71,0,1,0,6.199999809,0,531,1
62,39,50.5,1,0,0,0.800000012,0,236,1
86,50,68,1,0,0,6.199999809,0,484,1
67,43,55,1,0,0,0.400000006,0,445,1
59,35,47,0,0,1,1.700000048,0,252,1
89,69,79,0,1,0,9,0.360000014,286,0
63,46,54.5,1,0,0,6.900000095,0.170000002,400,0
59,46,52.5,0,0,1,10,0,261,0
74,55,64.5,1,0,0,7.800000191,0,339,0
80,33,56.5,1,0,0,0.699999988,0,617,0
55,45,50,1,0,0,9.600000381,0.200000003,316,0
62,28,45,0,0,1,5.699999809,0.02,367,0
74,33,53.5,1,0,0,2.5,0,635,0
95,66,80.5,0,1,0,4.099999905,0,449,0
65,20,42.5,1,0,0,9.399999619,0.219999999,314,0
55,43,49,1,0,0,9,0,264,0
89,57,73,0,1,0,1.899999976,0,356,0
80,53,66.5,0,1,0,3.799999952,0,564,0
